sf_name,sf_tel,sf_latitude,sf_longitude,sf_addr
남구시니어클럽,053-471-8090,35.8411273,128.5613302,대구광역시 남구 대명복개로 1길 38
대덕노인종합복지관,053-621-9522,35.8361708,128.583823,대구광역시 남구 큰골길 137 (대명동)
남구노인대학,053-621-7103,35.8411273,128.5613302,대명복개로1길 38
대덕노인종합복지관 부설 대덕평생대학,053-621-9522,35.8361751,128.5837978,대구광역시 남구 큰골길 137 대덕노인복지회관 (대명동)
가톨릭요양원,053-628-8833,35.8452188,128.5690772,대구광역시 남구 두류공원로 96 (대명동)
고은손노인요양센터,053-623-0528,35.8414393,128.5607449,대구광역시 남구 성당로 46  3층 (대명동  명성빌딩)
까리따스의집 노인요양공동생활가정,053-627-3181,35.8331105,128.5717833,대구광역시 남구 안지랑로6길 7 (대명동)
남대구1요양센터,053-655-7100,35.8409995,128.5745976,대구광역시 남구 두류공원로 26  4층 (대명동)
남대구3요양센터,070-8915-4778,35.8409995,128.5745976,대구광역시 남구 두류공원로 26  5층 (대명동)
남대구4요양센터,070-8915-4779,35.8409995,128.5745976,대구광역시 남구 두류공원로 26  5층 (대명동)
대덕실버타운,053-625-0800,35.8351589,128.5694475,대구광역시 남구 대명남로 103 (대명동)
대명요양센터,053-254-3200,35.8579915,128.5784819,대구광역시 남구 명덕로 72  1~3층 (대명동)
대명효성실버홈,053-656-1500,35.8431658,128.5702103,대구광역시 남구 두류공원로 71  3층 (대명동)
만수요양원,053-656-1222,35.8410106,128.5802912,대구광역시 남구 현충로 90 (대명동)
명인요양센터,053-473-8899,35.8415531,128.6045077,대구광역시 남구 중앙대로22길 256  5층 (봉덕동)
무량수전 노인전문요양원,053-477-3334,35.844062,128.590881,대구광역시 남구 중앙대로 122 (봉덕동)
봉덕 효 요양원,053-475-8573,35.8443786,128.6015359,대구광역시 남구 봉덕로 100-1 (봉덕동)
삼성온케어요양원,053-267-8899,35.8438767,128.586852,대구광역시 남구 현충로 175 (대명동)
앞산고을요양센터,053-637-3397,35.8303283,128.6038381,대구광역시 남구 용두2길 37 (봉덕동)
애덕의집노인요양센터,053-625-5576,35.8342695,128.571047,대구광역시 남구 안지랑로 29-4 (대명동)
여래원,053-472-2222,35.8527079,128.5992849,대구광역시 남구 이천로28길 8-52 (이천동)
예람실버홈,053-651-5352,35.8360207,128.5749334,대구광역시 남구 대명로36길 71-13 (대명동)
온누리요양타운,053-216-7427,35.8444987,128.568935,대구광역시 남구 두류공원로 89 (대명동 3층)
유림케어요양복지센터,053-643-0361,35.8379248,128.560371,대구광역시 남구 대명로 26 (대명동  4층)
재활노인요양원,053-624-5266,35.8310962,128.5621708,대구광역시 남구 대덕초등길 66(대명동)
청춘복지센터,053-571-6800,35.8307914,128.560391,대구광역시 남구 대명서로 47-2 (대명동)
현대요양원,053-652-5353,35.8523254,128.5805326,대구광역시 남구 양지북길 126 (대명동)
효다함요양센터,053-471-8899,35.8415531,128.6045077,대구광역시 남구 중앙대로22길 256  4층 (봉덕동)
효다함요양센터2,053-471-8890,35.8415531,128.6045077,대구광역시 남구 중앙대로22길 256  2층 (봉덕동)
휴마나두류요양원,053-654-7171,35.8442628,128.5635279,대구광역시 남구 성당로 86-1 (대명동)
참좋은기억학교,053-263-8228,35.8444706,128.5910069,대구광역시 남구 중앙대로 126  2층
효원주간보호센터A,053-627-8887,35.8461665,128.568181,대구광역시 남구 두류공원로 110  2층 (대명동)
예람실버재가복지센터,053-651-5352,35.8360207,128.5749334,대구광역시 남구 대명로36길 71-13 (대명동)
