sf_name,sf_tel,sf_latitude,sf_longitude,sf_addr
대구성로원,053-632-1220,35.81048743,128.521247,대구광역시 달서구 진천로3길 80
대구샘노인요양센터,053-631-1220,35.81048743,128.521247,대구광역시 달서구 진천로3길 80 (진천동)
시온요양원,053-606-1666,35.85702523,128.5568605,대구광역시 달서구 달구벌대로 1750 (두류동)
굿실버요양원,053-628-9911,35.83853235,128.5544063,대구광역시 달서구 대명천로10길 3 (성당동)
예수마을노인요양원,053-653-7001,35.84863493,128.5681602,대구광역시 달서구 두류공원로28길 31 (성당동)
경북실버타운,053-637-5555,35.82163784,128.5251714,대구광역시 달서구 조암남로14길 19 (월성동)
성서요양원,053-582-0264,35.84996617,128.5106896,대구광역시 달서구 달구벌대로264안길 17 (이곡동)
상록수실버타운,053-716-6123,35.84716189,128.5214211,대구광역시 달서구 문화회관3길 25 (장기동)
성당효요양원,053-628-9771,35.85048245,128.5719929,대구광역시 달서구 성당로 195  6층 (성당동)
대운실버타운,053-655-8880,35.82658062,128.5563705,대구광역시 달서구 중흥로16길 65 (송현동)
예람요양원,053-523-5367,35.83496322,128.5365496,대구광역시 달서구 와룡로 27 (본동)
송현요양원,052-652-6014,35.82659559,128.5550868,대구광역시 달서구 월배로80길 96-11 (송현동)
행복재활요양원,053-629-1300,35.83942997,128.5513021,대구광역시 달서구 대명천로16길 11 (성당동)
가까운요양원,053-213-3363,35.80848801,128.5125256,대구광역시 달서구 명천로 10-4 (대곡동)
사랑마을요양원,053-623-5133,35.8121157,128.5301876,대구광역시 달서구 월배로24길 88 (진천동)
W요양원,053-582-3131,35.83863515,128.4893969,대구광역시 달서구 성서공단로11길 38-11 (호림동)
성심실버타운,053-562-4288,35.83941141,128.5334912,대구광역시 달서구 와룡로15길 59 (본리동)
수목원실버타운,053-642-7799,35.80455135,128.5286324,대구광역시 달서구 갈밭로4길 43 (대곡동)
대곡가톨릭요양원,053-243-8833,35.80428973,128.528686,대구광역시 달서구 갈밭로4길 39 (대곡동)
두류숲요양원,053-256-6666,35.8448315,128.5527012,대구광역시 달서구 장기로10길 51 (성당동)
현대실버타운,053-267-7822,35.8106174,128.5286174,대구광역시 달서구 상화북로5길 5 (진천동)
달서한독요양원,053-632-9980,35.82692745,128.5315813,대구광역시 달서구 학산로 16  3층 (월성동  월성우방코아)
그린종합복지센터,053-655-8890,35.84007049,128.553133,대구광역시 달서구 야외음악당로 32 (성당동)
신세계실버홈,053-632-0770,35.80915032,128.5362648,대구광역시 달서구 도원로 5 (도원동)
가림노인요양센터,053-637-2351,35.81736586,128.5312297,대구광역시 달서구 월배로 163 (진천동)
은혜실버홈,053-621-3222,35.80965229,128.5468577,대구광역시 달서구 월곡로 145 (상인동 2층)
노리실버홈 요양원,053-642-9990,35.80997673,128.5409067,대구광역시 달서구 월곡로35길 82  2층 (상인동)
종려노인복지센터,053-581-2128,35.84997326,128.5153505,대구광역시 달서구 성서동로65길 5 (이곡동)
다은실버타운,053-643-8216,35.81266296,128.5448312,대구광역시 달서구 월곡로 184  202호 (상인동  상인리빙프라자)
소망실버홈공동생활가정,053-621-3222,35.80965229,128.5468577,대구광역시 달서구 월곡로 145  4층 (상인동)
사랑실버홈공동생활가정,053-638-3226,35.80965229,128.5468577,대구광역시 달서구 월곡로 145  5층 (상인동)
한독요양원1,053-629-1190,35.86108125,128.5721578,대구광역시 달서구 명덕로 10  2층 (두류동)
한독요양원2,053-655-3363,35.86108125,128.5721578,대구광역시 달서구 명덕로 10  3층 (두류동)
대구 신세계요양원,053-629-2003,35.80902233,128.5182276,대구광역시 달서구 상화로 33  3층 (진천동  대경빌딩 A동)
마음다해요양타운1,053-641-4033,35.80902233,128.5182276,대구광역시 달서구 상화로 33  4층 (진천동  대경빌딩 C동)
마음다해요양타운2,053-641-4033,35.80902233,128.5182276,대구광역시 달서구 상화로 33  4층 (진천동  대경빌딩 C동)
예다함2노인요양센터,053-621-9797,35.85021364,128.5716588,대구광역시 달서구 성당로 191  3층 (성당동)
예다함3노인요양센터,053-621-9797,35.85021364,128.5716588,대구광역시 달서구 성당로 191  4층 (성당동)
효성공동생활가정,053-634-0775,35.80593646,128.510595,대구광역시 달서구 명천로10길 1-15 (대곡동)
부모님요양복지센터,053-623-7017,35.84625759,128.5463678,대구광역시 달서구 당산동3길 11 (성당동)
휴청명노인복지센터,053-628-0001,35.82964799,128.5479249,대구광역시 달서구 송현동2길 36  3층 (송현동)
달서구노인종합복지관,053-644-8310,35.83328112,128.5418069,대구광역시 달서구 학산로 140 (본동)
성서노인종합복지관,053-721-8081,35.85951129,128.514892,대구광역시 달서구 선원로 203
두류은빛복지관,053-623-8310,35.85776957,128.5672733,대구광역시 달서구 두류길 141-8 4층  5층
100세재가노인복지센터,053-262-3363,35.84940957,128.5469541,대구광역시 달서구 당산로 140  2층 (성당동)
365 따스한재가노인복지센터,053-657-1920,35.83051143,128.5561545,대구광역시 달서구 중흥로 38  1층 (송현동)
가나재가복지센터,053-642-0946,35.8128859,128.5333354,대구광역시 달서구 월배로28길 100  1층 (진천동)
가람복지센터,053-552-4557,35.85856603,128.5352032,대구광역시 달서구 평리로 98-3  2층 (죽전동)
가브리엘 재가복지센터,053-624-6612,35.84318604,128.549878,대구광역시 달서구 장기로 97  4층 (성당동)
가톨릭요양센터,053-243-8834,35.80428973,128.528686,대구광역시 달서구 갈밭로4길 39  1층 (대곡동)
강남노인복지센터,053-633-1188,35.81266296,128.5448312,대구광역시 달서구 월곡로 184  205호 (상인동  상인리빙프라자)
건강한재활주간보호센터,053-652-5854,35.84360028,128.5499583,대구광역시 달서구 장기로 100  A동 2층 (성당동)
고운맘복지센터,053-635-3415,35.80871519,128.5507351,대구광역시 달서구 월곡로26길 41  1층 (상인동)
고향재가복지센터,053-639-6555,35.83298221,128.5341011,대구광역시 달서구 구마로12길 93  2층 203호 (본동)
굿모닝노인복지센터,053-568-3366,35.85535824,128.5469729,대구광역시 달서구 당산로41동길 10  1층 (감삼동)
굿시니어복지센터,053-638-0227,35.81140529,128.5478656,대구광역시 달서구 월곡로32길 30  1층 (상인동)
굿실버재가노인돌봄센터,053-628-0119,35.81473177,128.5477447,대구광역시 달서구 상인로 84  4층 (상인동)
굿실버주간보호센터,053-628-9910,35.80155103,128.5324518,대구광역시 달서구 갈밭남로9길 2-9  2층 (대곡동)
기쁨나눔재가복지센터,053-284-6252,35.8554074,128.5401088,대구광역시 달서구 죽전길 81  2층 (죽전동)
나눔재가노인복지센터,053-268-5822,35.8164463,128.5251371,대구광역시 달서구 진천로18길 10  301호 (진천동)
노리실버홈 데이케어센터,053-642-9990,35.80997673,128.5409067,대구광역시 달서구 월곡로35길 82  2층 (상인동)
노리주간보호센터,053-633-9988,35.80630983,128.5485055,대구광역시 달서구 상화로62길 46  4-5층 (도원동  국제빌딩)
누리재가복지센터,053-525-4261,35.85393384,128.5350613,대구광역시 달서구 와룡로45길 36-15  1층 (죽전동)
늘푸른기억학교,053-561-9988,35.8433231,128.5314806,대구광역시 달서구 장기로 263  4층 (장기동)
다온재가복지센터,053-523-2221,35.8454774,128.5375173,대구광역시 달서구 와룡로 144  3층 (감삼동)
다정주간보호센터,053-635-3500,35.82210445,128.5276977,대구광역시 달서구 상원로 163  2층 (월성동)
다행복재가노인복지센터,053-642-2723,35.81990311,128.5240643,대구광역시 달서구 조암남로 85  202  203호 (월성동)
달서구노인복지센터,053-634-8310,35.83328112,128.5418069,대구광역시 달서구 학산로 140 (본동)
달서구월배노인복지센터,053-634-8166,35.82175331,128.5214315,대구광역시 달서구 조암남로20길 48 (월성동)
달서한독주간보호센터,053-632-9980,35.82692745,128.5315813,대구광역시 달서구 학산로 16  3층 (월성동)
대구 신세계재가노인복지센터,053-629-2003,35.80902233,128.5182276,대구광역시 달서구 상화로 33  A동 3  4층 (진천동)
대구YWCA재가노인돌봄센터,053-587-1968,35.85121741,128.5068228,대구광역시 달서구 성서로 377  5층 (이곡동)
대구샘기억학교,053-642-1220,35.81048743,128.521247,대구광역시 달서구 진천로3길 80 (진천동)
대구샘재가노인복지센터,053-641-7088,35.81048743,128.521247,대구광역시 달서구 진천로3길 80 (진천동)
대구재가노인돌봄센터,053-295-6070,35.82922468,128.5498257,대구광역시 달서구 월배로 385  2층 (송현동)
대덕재가노인돌봄센터,053-625-9523,35.80704047,128.5364276,대구광역시 달서구 한실로 89  4층 (도원동)
대안주간보호센터,053-638-8088,35.81343468,128.519197,대구광역시 달서구 월배로11길 9-15  201동 301호 (유천동  진천역 화성파크 리젠시 1단지)
대천노인복지센터,053-642-6050,35.81965331,128.5172456,대구광역시 달서구 조암남로26길 29  2층 (대천동)
더공경재가복지센터,053-632-1015,35.80931679,128.5230651,대구광역시 달서구 상화로7길 89  1층 (진천동)
