sf_name,sf_tel,sf_latitude,sf_longitude,sf_addr
신일양로원,053-768-0180,35.7963356,128.6263694,대구광역시 달성군가창면 가창로 1011-31
신애요양원,053-768-3180,35.7966333,128.625875,대구광역시 달성군가창면 가창로 1025
소망요양원,053-761-5225,35.7966333,128.625875,대구광역시 달성군가창면 가창로 1025
연광시니어타운,053-584-0085,35.9269893,128.4269239,대구광역시 달성군하빈면 기곡길 209
늘푸른실버타운,053-644-9988,35.7926296,128.4875228,대구광역시 달성군화원읍 명천로 331
비슬원,053-643-1166,35.8012674,128.4885811,대구광역시 달성군화원읍 성화로 40
대구가톨릭치매센타,053-615-2141,35.7210029,128.4536443,대구광역시 달성군논공읍 논공로 210
한패밀리요양원,053-766-4100,35.7325702,128.6648806,대구광역시 달성군가창면 가창로 175
행복한효경,053-611-3778,35.6991889,128.4471898,대구광역시 달성군현풍면 현풍동로27길 25
대구보훈요양원,053-606-3000,35.8901448,128.4075058,대구광역시 달성군하빈면 하산길 123-23
에덴동산,053-617-7117,35.757928,128.4371809,대구광역시 달성군논공읍 노이4길 28
마음다해실버타운,053-617-0900,35.7732336,128.4282585,대구광역시 달성군논공읍 금강로10길 6-8
다사랑요양원,053-767-2619,35.7983033,128.6235387,대구광역시 달성군가창면 가창로 1049
성심힐링노인요양원,053-583-1155,35.8706941,128.4743646,대구광역시 달성군다사읍 세천로10길 36-5
서재요양원,053-587-4241,35.8769959,128.4958635,대구광역시 달성군다사읍 서재로31길6
더나은요양원,053-767-7100,35.7249721,128.6748488,대구광역시 달성군가창면 가창로10길 10
화원요양원,053-632-8811,35.800514,128.4975258,대구광역시 달성군화원읍 명천로 192
대한노인복지센터,053-591-6668,35.858697,128.4637196,대구광역시 달성군다사읍 달구벌대로 864 7층
베델행복한 집,053-639-1339,35.8007555,128.5022698,대구광역시 달성군화원읍 명천로31길 23-10
하늘과땅노인복지센터,053-611-7070,35.7939601,128.4406183,대구광역시 달성군옥포면 신당2길 10
마실노인복지센터,053-611-8384,35.6922491,128.4412208,대구광역시 달성군현풍면 비슬로121길 16
나오미노인센터,053-591-2800,35.8803989,128.4169758,대구광역시 달성군하빈면 달구벌대로35길 26-7
솔비 효 요양원,053-614-0675,35.7644252,128.4732647,대구광역시 달성군옥포면 송촌길 241
사랑마을실버타운,053-614-7718,35.7535599,128.5041107,대구광역시 달성군옥포면 용연사길 96
대한실버타운1,0507-1330-9788,35.858697,128.4637196,대구광역시 달성군다사읍 달구벌대로 864 5층 1호
나오미행복한집,053-591-2800,35.88031,128.4167763,대구광역시 달성군하빈면 달구벌대로35길 26-5
효자실버타운A,053-638-0062,35.8037327,128.4974241,대구광역시 달성군화원읍 사문진로 447 4층
다사효실버타운,053-588-2166,35.8563774,128.4340767,대구광역시 달성군다사읍 달구벌대로92길 18
아름다운요양원,053-631-9987,35.7930776,128.4875123,대구광역시 달성군화원읍 명천로 331-1
하빈천사의집,053-582-0501,35.8919449,128.4285695,대구광역시 달성군하빈면 하빈로52길 20-25
향기노인복지센터,,35.6931072,128.4582125,대구광역시 달성군유가면 테크노중앙대로 254 605호
효경재가노인지원센터,053-617-0112,35.6976161,128.4447174,대구광역시 달성군현풍면 현풍중앙로20길 25
한울노인복지센터,053-634-8668,35.8084013,128.5083733,대구광역시 달성군화원읍 비슬로 2679
비슬노인복지센터,053-617-0982,35.8006179,128.4915365,대구광역시 달성군화원읍 성화로 11
단비노인복지센터,,35.8012674,128.4885811,대구광역시 달성군화원읍 성화로 40
늘푸른복지센터,053-644-9988,35.8023122,128.6226942,대구광역시 달성군가창면 가창로 1096
효경노인복지센터,053-617-0112,35.6483292,128.4546029,대구광역시 달성군구지면 창한로 567
효경주간보호센터,053-617-0113,35.6991889,128.4471898,대구광역시 달성군현풍면 현풍동로27길 25
수경주간보호센터,053-634-6780,35.7993245,128.490797,대구광역시 달성군화원읍 비슬로 2490
수경기억학교,0507-1415-5902,35.8005803,128.4913109,대구광역시 달성군화원읍 성화로 13
