sf_name,sf_tel,sf_latitude,sf_longitude,sf_addr
신암1경로당,053-943-2586,35.8883877,128.6190658,대구광역시 동구 신암북로7길 37 (신암동)
제일경로당,053-958-0323,35.8856811,128.6208005,대구광역시 동구 아양로11길 36-5 (신암동)
새터경로당,053-959-9990,35.8870776,128.6160341,대구광역시 동구 경대로 72 (신암동)
안평경로당,053-959-1119,35.883897,128.6157194,대구광역시 동구 평화로 20-20 (신암동)
신암1동뜨란채APT경로당,053-958-8903,35.8833377,128.6177279,대구광역시 동구 아양로7길 12 (신암동)
평화경로당,053-939-5799,35.8840123,128.6216904,대구광역시 동구 아양로 65-67 (신암동)
동대구에일린의뜰경로당,,35.8852312,128.6174391,대구광역시 동구 아양로9길35(신암동)
강남아파트경로당,053-959-8874,35.8793428,128.6137756,대구광역시 동구 신성로 60 (신암동)
신암2동경로당,053-957-7057,35.8764331,128.6152707,대구광역시 동구 신성로 113-3 (신암동)
신암그린타운경로당,053-951-6324,35.8782283,128.6113899,대구광역시 동구 신성로 30 (신암동)
신천가람타운경로당,053-944-0268,35.8756021,128.6110036,대구광역시 동구 신암로16길 33 (신천동)
신암청아람경로당,,35.8789354,128.6127336,대구광역시 동구 신암로20길 39(신암동)
신천자이아파트경로당,053-946-5596,35.8764256,128.6121901,대구광역시 동구 신암로16길 25 (신천동)
신암3동경로당,053-959-9182,35.881005,128.6188503,대구광역시 동구 아양로8길 10-1 (신암동)
신암건영캐스빌경로당,,35.8776446,128.6190526,대구광역시 동구 신암남로 50 (신암동)
이안동대구경로당,,35.8785868,128.6168179,대구광역시 동구 송라로28길 14(신암동)
이안센트럴D경로당,,35.880446,128.6251877,대구광역시 동구 동대구로 577(신암동)
동대구우방아이유쉘경로당,,35.8801575,128.6175687,대구광역시 동구 송라로32길 32(신암동)
금오경로당,053-952-3325,35.8866689,128.6230041,대구광역시 동구 아양로11길 65 (신암동)
보성아파트경로당,053-942-9259,35.8862539,128.6241323,대구광역시 동구 큰고개로 23 (신암동)
성동경로당,053-945-1220,35.8841091,128.6305056,대구광역시 동구 아양로34길 18-3 (신암동)
에스디아이프라임아파트경로당,053-959-2323,35.8843427,128.6280571,대구광역시 동구 아양로24길 13 (신암동)
진로이스트타운2차경로당,,35.8828241,128.634919,대구광역시 동구 동북로 460 (신암동)
금호정경로당,053-944-3622,35.8908006,128.6338446,대구광역시 동구 아양로49길 77 (신암동)
동서1차아파트경로당,,35.8872241,128.635124,대구광역시 동구 아양로39길 16 (신암동)
동서2차아파트경로당,053-953-5677,35.8878347,128.6355924,대구광역시 동구 아양로39길 20 (신암동)
신암5동경로당,053-957-2127,35.8869447,128.6325144,대구광역시 동구 동북로83길 25-2 (신암동)
