sf_name,sf_tel,sf_latitude,sf_longitude,sf_addr
영락양로원,053-555-1705,35.8808126,128.5281404,대구광역시 서구 가르뱅이로 21길 3(상리동)
간호박사요양센터,053-572-8812,35.8652517,128.564198,대구광역시 서구 통학로 대구광역시 서구 통학로  54  2층 (내당동)
간호박사요양센터1,053-572-8813,35.8652517,128.564198,대구광역시 서구 통학로 54  3층 (내당동)
그린노인요양원,053-565-7890,35.8720249,128.5695509,대구광역시 서구 국채보상로 354  5층 (비산동)
내고향노인요양원,053-556-9988,35.8760294,128.5625439,대구광역시 서구 통학로 175-6 (평리동)
대구실버요양센터,053-553-4321,35.865442,128.5636722,대구광역시 서구 통학로 57  3층 (내당동)
동산마더홈요양원,053-355-1115,35.8842536,128.5570146,대구광역시 서구 서대구로 298 (비산동)
두레노인요양원3,053-566-9939,35.8737749,128.5545664,대구광역시 서구 서대구로 177  4층 (평리동)
두레노인요양원1,053-566-9914,35.8737749,128.5545664,대구광역시 서구 서대구로 177  2층 (평리동)
두레노인요양원2,053-566-9929,35.8737749,128.5545664,대구광역시 서구 서대구로 177  3층 (평리동)
민들레노인요양원,053-643-3000,35.857094,128.5469855,대구광역시 서구 당산로 231-2 (내당동)
보은노인전문요양원,053-521-0741,35.8757544,128.575425,대구광역시 서구 국채보상로81안길 8 (비산동)
봄봄노인요양원,053-267-5141,35.8661746,128.5621552,대구광역시 서구 통학로13길 6 (평리동)
사랑마을노인요양원,053-552-8899,35.8704892,128.5587292,대구광역시 서구 국채보상로50길 10  3층 (평리동)
삼성요양원2,053-567-8119,35.8715969,128.5779367,대구광역시 서구 국채보상로 429  3층 (비산동)
삼성요양원1,053-567-8119,35.8715969,128.5779367,대구광역시 서구 국채보상로 429  3층 (비산동)
샬롬노인종합센터,053-527-9990,35.8848814,128.5281378,대구광역시 서구 가르뱅이로16길 26 (상리동)
서구시니어요양원1,053-566-8575,35.8656575,128.5561938,대구광역시 서구 서대구로 86  7층 (평리동)
서구시니어요양원2,053-566-8575,35.8656575,128.5561938,대구광역시 서구 서대구로 86  7층 (평리동)
