sf_name,sf_tel,sf_latitude,sf_longitude,sf_addr
범어1동 제1경로당,053-743-3288,35.8539519,128.6275547,동대구로54길 7
범어1동 제2경로당,053-765-1330,35.8519135,128.6229224,청솔로16길 35
궁전맨션경로당,053-756-8020,35.8754032,128.6261676,동대구로 274
아진맨션경로당,053-751-2411,35.8501156,128.6278979,동대구로 38길 80
태왕유성하이빌경로당,053-746-6144,35.8754032,128.6261676,동대구로 250
범어유림노르웨이숲경로당,053-741-6008,35.852617,128.6283356,동대구로50길 37
범어1동 청구푸른마을경로당,053-742-1106,35.8754032,128.6261676,동대구로 240
범어쌍용예가아파트경로당,053-741-1704,35.8547798,128.6219358,명덕로 477
범어롯데캐슬경로당,개인정보 포함,35.8754032,128.6261676,동대구로 300
범어2동 제1경로당,053-742-9237,35.8638943,128.6388772,동원로11길 14
범어2동 제2경로당,053-752-2363,35.8663375,128.6310967,동대구로80길 73-3
범어2동 두산위브더제니스경로당,053-759-6226,35.860282,128.6289704,달구벌대로 2435
범어3동 제1경로당,053-752-0282,35.8654903,128.6201838,들안로78길 46
청구성조타운경로당,053-751-1577,35.8693548,128.5964111,국채보상로 846
범어화성파크드림경로당,053-744-2141,35.8628545,128.6224243,범어천로 180
범어태왕아너스경로당,053-755-4754,35.8634758,128.6231771,상록로 41
래미안수성경로당,053-745-1009,35.8654475,128.6225892,상록로 69
범어월드메르디앙 웨스턴카운티경로당,053-759-1113,35.8645842,128.6204832,범어천로 200
범어역우방유쉘경로당,053-746-8648,35.8754032,128.6261676,동대구로 345
범어4동제1경로당,053-752-5262,35.8569976,128.6392457,청호로85길 46
유신경로당,053-756-7581,35.8563609,128.6422175,청호로88안길 29-3
범어4동제2경로당,053-741-1542,35.8578189,128.6371571,범어로20길 24-1
장원맨션경로당,053-754-7383,35.8508507,128.6394923,청호로 370
범어가든3차경로당,053-752-4812,35.8497187,128.6380952,청호로 365
서한두레맨션경로당,053-756-1126,35.852382,128.634773,달구벌대로496길72
범어청구하이츠경로당,053-213-7788,35.8540494,128.6412418,청호로84안길2
범어에스케이뷰경로당,053-743-0086,35.855544,128.6349158,범어로 73
우방청솔경로당,개인정보 포함,35.8542822,128.6401335,청호로 422
만촌1동 제1경로당,053-751-7843,35.8718141,128.6420748,만촌로24길 37-20
느지경로당,053-943-6176,37.6134116,127.0640535,화랑로40길 46
샘골경로당,053-752-3132,35.8696978,128.6462467,공경로2길 21
럭키골든맨션경로당,053-942-2133,37.2172396,127.0186549,효행로 24
만촌보성타운경로당,053-751-5499,35.874119,128.6433169,공경로 70
메트로팔레스5단지경로당,053-741-5108,35.8686053,128.6401633,동원로 100
메트로팔레스2단지경로당,053-215-5559,36.879789,128.6080964,동원로 123
메트로팔레스1단지경로당,053-214-5100,35.8701814,128.6346566,동원로 135
메트로팔레스3단지경로당,053-742-0318,36.8812782,128.6109422,동원로 110
만촌화성파크스위트경로당,053-219-0088,35.8743074,128.6533662,화랑로34길 141
만촌우방하이츠경로당,053-744-8443,37.620129,126.8785267,화랑로 26
지장경로당,053-741-0390,35.8645991,128.6488508,무열로 65-1
만촌경로당,053-741-1666,35.862343,128.6430462,동원로6길 50-13
태왕리더스경로당,053-213-1168,35.8674958,128.6475272,무열로 47
만촌3동 제1경로당,053-751-8818,35.8565044,128.6488793,달구벌대로526안길6
각계경로당,053-745-1123,35.8498143,128.6510875,달구벌대로530길146
두리봉경로당,053-755-5346,35.8523064,128.6512813,달구벌대로530길92
두봉골경로당,개인정보 포함,35.8526447,128.6451127,달구벌대로 522길 121-20
산장맨션경로당,053-741-4434,35.8475938,128.6502945,교학로 111
만촌2차우방타운경로당,053-744-0580,35.8507625,128.6576198,교학로11길 91
만촌우방타운경로당,053-755-5055,35.8494784,128.6546409,교학로11길 46
수성2차 e편한세상경로당,053-294-4959,35.8557704,128.6479037,달구벌대로522길 33
우방팔레스경로당,053-744-5066,35.8521352,128.6584356,청수로 551
만촌3차화성파크드림경로당,053-945-4700,35.8536864,128.6531222,교학로 13
수성1가 제1경로당,053-764-8996,35.8505432,128.6104363,수성로53길 50-4
수성1가 제2경로당,053-753-1582,35.8594454,128.6113736,달구벌대로456길 11
신세계타운만수당경로당,053-767-1489,35.8532089,128.6107023,신천동로 320
오성타운경로당,053-744-2361,35.8588516,128.6092236,신천동로 380
태왕하이츠리버뷰경로당,053-243-0071,35.859169,128.6104857,달구벌대로454길 9
수성그린타운경로당,053-759-9449,35.8589656,128.613216,달구벌대로458길 17
한가람타운경로당,053-761-7695,35.8544177,128.6102524,명덕로 368
삼우1차수성타운경로당,053-745-3343,35.8589,128.6119419,달구벌대로456길 19
수성대백인터빌경로당,053-213-8421,35.8565348,128.6125533,수성로69길 14
영남타워경로당,053-744-2240,35.8576966,128.6116881,달구벌대로456길 43
수성서한이다음경로당,053-255-2466,35.854959,128.6128858,수성로69길 15
수성동양엘레브경로당,053-741-7966,35.8565129,128.6115155,명덕로73길 40
유성푸르나임경로당,053-741-2209,35.8577531,128.6131164,수성로75길 16
수성롯데캐슬더퍼스트1단지경로당,053-741-3651,35.8573746,128.6103316,수성로69길 70
수성롯데캐슬더퍼스트2단지경로당,053-741-3651,35.8556613,128.6096903,수성로69길 65
수성롯데캐슬더퍼스트3단지경로당,053-741-3651,35.8554737,128.6111327,수성로69길 41
한마음경로당,053-767-0545,35.8527428,128.6190801,들안로52길 35-1
참마음경로당,053-766-0315,35.8524134,128.6160747,수성로60길 45-1
열린경로당,053-741-6850,35.8548431,128.6145516,명덕로 405-4
수성3가롯데캐슬경로당,053-745-0102,35.8556786,128.6199434,명덕로 455
수성코오롱하늘채경로당,053-746-1026,35.8560933,128.6181715,들안로 300
롬바드아파트경로당,053-742-5801,35.8589838,128.6168162,들안로 325
수성4가경로당,053-754-6742,35.8603209,128.6221593,범어천로 151
미수경로당,053-743-5155,35.8661117,128.6165392,들안로81길 29
신천경로당,053-743-0181,35.8630114,128.6130214,신천동로88길 1-15
수성보성타운경로당,053-754-2686,35.8624958,128.6153887,수성로 412
수성화성쌍용타운경로당,053-241-3677,35.8626443,128.6135974,수성로 411
대림e-편한세상경로당,053-218-3220,35.8649242,128.614646,들안로73길 50-7
우방사랑마을아파트경로당,053-742-3442,35.8608881,128.6160389,달구벌대로 2317
수성우방팔레스경로당,053-741-1175,35.8611362,128.6149133,수성로 400
범어삼환나우빌경로당,053-741-6653,35.8626137,128.6208264,범어천로 197
수성데시앙경로당,053-745-3030,35.8622596,128.6189356,들안로 360
수성롯데캐슬경로당,053-742-0548,35.8601728,128.6158213,달구벌대로 2315
신천지타운경로당,053-767-1960,35.8385698,128.6422541,청호로46길 16
황금종합복지관경로당,053-763-2453,35.8434679,128.6318466,청수로45길 41
캐슬골드파크3단지경로당,053-768-5596,35.8418346,128.635461,청수로 257
캐슬골드파크4단지경로당,053-768-5597,35.8423733,128.6376405,청수로 261
캐슬골드파크5단지경로당,053-768-5598,35.8392735,128.6320686,청수로 214
캐슬골드파크1단지경로당,053-768-5591,35.8405773,128.6311019,청수로 213
황금태왕아너스경로당,053-741-1486,35.8481211,128.6370378,청호로345
황금힐스테이트경로당,053-219-9300,35.8397302,128.6385885,청수로274
수성2차우방타운경로당,개인정보 포함,35.8462487,128.640056,청호로 330
황금2동 제1경로당,053-764-5114,35.8457786,128.6192184,희망로36길 32
황금2동 제2경로당,053-761-1057,35.8475503,128.6191494,들안로40안길 7-20
황금미진아파트경로당,053-766-3241,35.8502368,128.6229404,청솔로12길 40
중동제1경로당,053-768-6818,35.8437026,128.6114721,수성로39안길 5
중부리경로당,053-763-4439,35.8499332,128.6152538,수성로52안길 7-10
상록수경로당,053-761-5782,35.8444669,128.615418,들안로29길 26-18
광명아파트경로당,053-761-9192,35.8401873,128.6116686,수성로 165
서울중동경로당,053-765-3087,35.8443326,128.6087039,신천동로 216
수성효성해링턴플레이스경로당,개인정보 포함,35.8462583,128.6104525,희망로24길 24
상동공원경로당,053-767-3569,35.8395012,128.6154853,들안로13길 118
상동제2경로당,053-761-4335,35.8330723,128.6089529,수성로15길 42-6
한들경로당,053-762-6675,35.8366098,128.6137058,수성로32길 99
덕화경로당,053-763-0801,35.8322369,128.6155996,들안로9길 56
상동청구타운경로당,053-768-9240,37.4904656,126.7623533,상동247
정화우방팔레스경로당,053-764-7135,35.8380165,128.6107781,수성로135
수성동일하이빌경로당,053-763-0056,35.8313412,128.60952,수성로 71
파동 제1경로당,053-763-1441,35.8187778,128.6150043,파동로38길 45-13
파동 제2경로당,053-767-4660,35.8116038,128.6212985,파동로18길 56
대자연1차경로당,053-767-3082,35.8147442,128.6169105,파동로 120
대자연2차경로당,053-764-6552,35.812124,128.618949,파동로 84
송원맨션경로당,053-767-3668,35.822379,128.6109865,파동로 223
동신실리안경로당,053-764-8299,35.8213137,128.6114676,파동로 209
화성파크뷰경로당,053-761-9556,35.8064097,128.6222375,파동로 19
청구하이츠경로당,053-768-7106,35.8098908,128.6226272,파동로12길 40
파동 태왕리더스경로당,053-762-1005,35.8129418,128.6167055,파동로 105
수성못코오롱하늘채경로당,053-765-2511,35.8231245,128.6123004,파동로 222
남광타운경로당,053-767-1383,35.8139613,128.6173573,파동로 22길 3
두산경로당,053-767-0744,35.8343725,128.6199143,들안로8길 68-5
두산제1경로당,053-762-0883,35.8291961,128.6250382,지범로21-11
지산경로당,053-781-0433,35.8269085,128.6331961,지산로11길 6-19
수동경로당,053-782-5615,35.8243152,128.6405604,지범로31안길 3-14
새마을경로당,053-761-1800,35.8316105,128.6266017,무학로31길 23
지산무학경로당,053-761-1956,35.8366352,128.6286545,청수로38길 53-11
청산맨션경로당,053-783-8675,35.8258997,128.6362352,지범로21길 15
시영3단지경로당,053-782-0570,35.8228939,128.6408542,용학로 303
지산서한이다음아파트경로당,053-782-3873,35.8239402,128.6419157,용학로 313
녹원맨션경로당,053-766-7534,37.5812713,127.0295615,무학로 189
시영5단지복지관경로당,053-783-8222,35.82484,128.6425568,용학로 325
동서무학맨션경로당,053-781-2012,35.8266546,128.6384055,지산로14길 83
보성맨션경로당,053-783-2801,35.8244735,128.6361257,지범로21길 3
거성경로당,053-781-6668,35.8192982,128.6354323,용학로48길 25-1
지산2동경로당,053-783-8887,35.8238298,128.6277729,용학로33길 17-16
지산목련아파트경로당,053-783-3735,35.8197627,128.6322204,용학로42길 13
호반송학경로당,053-782-1591,35.8184903,128.6338054,용학로46길 40
현대맨션경로당,053-782-6155,35.82164,128.634791,지범로22길 20
한라타운경로당,053-781-8522,35.8225402,128.6369007,지범로22길 9
화성맨션경로당,053-783-0170,35.8247637,128.6305809,용학로35길 62
지산에덴경로당,053-784-4410,35.8219292,128.633852,용학로 223
협화맨션경로당,053-784-1518,35.8213035,128.6361954,지범로22길 23
대우로얄하이츠경로당,053-783-1514,35.8211237,128.6278786,용학로36길 20
지산보성경로당,개인정보 포함,35.8231713,128.6353509,지범로22길 10
범물경로당,053-782-1161,35.8163798,128.6473648,범안로16길 46
용지2단지복지관경로당,053-784-8335,35.8202007,128.6461562,범안로 79
범물용지아파트경로당,053-784-8334,35.8191095,128.6452523,범안로 77
범물하이츠경로당,053-781-7122,35.8243029,128.64416,용학로 336
보성타운경로당,053-261-3232,35.821948,128.6442201,지범로39길 56
범물보성맨션경로당,053-783-2801,35.8223867,128.6427624,용학로 316
범물청구타운경로당,053-782-9360,35.8201081,128.6434531,지범로39길 12
범물영남타운경로당,053-214-5889,35.8223867,128.6427624,용학로 316
범물공원경로당,053-783-8336,35.8185169,128.643367,지범로 232
범물2동경로당,053-784-6145,35.81616,128.643875,지범로48길 14-1
범물맨션경로당,053-782-4734,35.8200387,128.6387423,용학로 272
서한화성경로당,053-784-7837,35.8187562,128.641977,지범로40길 11
청아맨션경로당,053-782-2355,35.816929,128.6418868,범안로 40
신화맨션경로당,053-781-3334,35.819189,128.6403273,지범로40길 6
동서노인경로당,053-784-1245,35.816929,128.6418868,범안로 40
삼주타운경로당,053-784-9950,35.815643,128.6419992,범안로8길 35
에덴타운경로당,053-783-5633,35.819189,128.6403273,지범로40길 6
보성송정타운경로당,053-784-5524,35.813832,128.6429644,지범로46길 43
두성타운경로당,053-782-8068,35.8148477,128.6490937,지범로 300
우방미진하이츠경로당,053-784-1770,35.8145143,128.6479789,지범로 290
청림맨션경로당,053-782-6371,35.814372,128.6463207,지범로54길 15
범물인앤인아파트경로당,개인정보 포함,35.8138433,128.6444692,지범로52길 69
수성하늘채르레브경로당,개인정보 포함,35.8155961,128.6451873,지범로48길 21
신매경로당,053-792-2340,35.8355812,128.7122123,욱수천로 78
욱수경로당,053-791-6222,35.8305117,128.7099042,욱수천로 15
신매공원경로당,053-793-5145,35.8328633,128.7091748,달구벌대로650길 59-6
천마타운경로당,053-792-4698,35.8367717,128.7073893,신매로 71
에덴맨션경로당,053-791-3455,35.8338851,128.7059118,고산로12길 34
"대백,신화,창신아파트경로당",053-792-5638,37.3514126,126.960915,고산로 90
"삼주,한라,협화아파트경로당",053-793-7720,35.8383839,128.7078315,신매로 91
시지보성서한아파트경로당,053-218-4737,35.832263,128.7060984,신매로 21
시지동서타운경로당,053-792-6018,35.833714,128.7069281,신매로 41
신화빌라트경로당,053-793-3768,35.8363831,128.7103763,달구벌대로650길 29
태왕5차월드하이츠경로당,053-216-0767,35.8300253,128.7090365,욱수천로 7
시지태왕3차하이츠경로당,053-792-1246,35.8355551,128.7112403,욱수천로 77
태왕레전드경로당,053-791-0258,35.8315745,128.7098793,욱수천로 27
사월화성파크드림 2단지경로당,053-794-8112,35.8354974,128.7161034,달구벌대로 3304-1
사월화성파크드림 3단지경로당,053-794-8103,35.835295,128.7147022,달구벌대로 3304-2
시지효성백년가약 1단지경로당,053-795-5114,35.836912,128.7147313,달구벌대로 3280
시지효성백년가약 2단지경로당,053-795-6114,35.8359607,128.7143402,달구벌대로 3280-1
웰리치시지경로당,053-795-1115,35.8337003,128.710476,욱수천로 55
시지경로당,053-791-4925,35.8437337,128.6966359,달구벌대로619길 2
가천경로당,053-791-8002,35.8530054,128.6862746,고모로24길 25
연호경로당,053-793-4040,35.8374927,128.6676234,범안로91길 70
고모경로당,053-793-6008,35.8577358,128.6768855,고모로39길 20
대흥경로당,053-791-3799,35.8321488,128.6846994,월드컵로6길 54
이천경로당,053-792-6979,35.838776,128.6550721,달구벌대로574길 192-1
노변경로당,053-791-9113,35.83894,128.6998985,노변로 77
팔현경로당,053-793-1333,35.8678833,128.6706401,팔현길 88-5
삼덕경로당,개인정보 포함,35.8283077,128.6688592,범안로64길 18-11
연호동 제2경로당,개인정보 포함,35.848109,128.6729267,달구벌대로 569길 20
청구전원아파트경로당,053-791-6719,35.8407745,128.6962799,시지로 45
은세계아파트경로당,053-792-9290,35.8443932,128.6946602,달구벌대로 3081
제림은탑맨션경로당,053-793-4726,35.845682,128.6962327,천을로 49
노변청구타운경로당,053-792-0466,35.8416495,128.6937703,시지로 21
고산노변타운경로당,053-791-5058,35.8391422,128.6959285,시지로 55
노변동서우방타운경로당,053-792-1172,35.8408755,128.6979991,노변공원로 22
노변다숲경로당,053-793-4977,35.8391642,128.6976402,노변공원로 34
시지대백맨션경로당,053-791-3640,35.8446601,128.7005237,달구벌대로625길 22
노변대백맨션경로당,053-791-3574,35.833272,128.6991011,노변로 11
수성월드메르디앙경로당,053-292-1981,35.8367038,128.699337,노변로 55
시지태왕아너스경로당,053-266-7933,35.8455934,128.7009795,천을로 91
시지월드메르디앙경로당,053-792-6281,35.8445307,128.6984008,천을로 70
아이프라임시지경로당,053-793-5055,35.8420949,128.6967395,달구벌대로 3110
수성알파시티청아람아파트경로당,개인정보 포함,35.835097,128.6968389,알파시티2로 96
수성알파시티 동화아이위시 경로당,개인정보 포함,35.8387204,128.6923842,알파시티2로 48
사월경로당,개인정보 포함,35.837066,128.7195585,달구벌대로 3321-4
매호경로당,053-791-9505,35.8473526,128.7088753,천을로31길 40
성동경로당,053-795-7667,35.8491404,128.7211049,성동로 166
매호공원경로당,053-791-7300,35.8454245,128.7036906,천을로23길 5
누리타운경로당,053-792-9583,35.8431007,128.7064902,달구벌대로637길 21
하나타운경로당,053-791-9022,37.3586538,126.9402707,고산로 123
두레타운경로당,053-793-1565,35.8450384,128.7052183,천을로 131
매호협화타운경로당,053-243-5204,35.8436502,128.7106932,천을로 181
동서타운학수정경로당,053-792-7253,35.8424837,128.7100667,천을로 180
사월보성타운경로당,053-793-3070,35.8408528,128.7154965,욱수천로 133
시지2차서한타운경로당,053-791-0032,35.8443436,128.7093155,천을로31길 8
시지3차신매보성타운경로당,053-791-7178,35.8398248,128.7135957,달구벌대로651길 23
신매우방타운경로당,053-793-5344,35.8409703,128.7136246,달구벌대로651길 33
매호2차동서타운경로당,053-201-5771,35.8415439,128.708776,달구벌대로641길 8
시지우방하이츠경로당,053-216-5080,35.841846,128.7113374,달구벌대로645길 22
시지2차태왕하이츠경로당,053-791-6750,35.8429621,128.7088276,천을로 170
시지1차태왕하이츠경로당,053-793-4976,35.8401155,128.7116812,달구벌대로647길 16
시지태왕리더스경로당,053-795-2477,35.8391801,128.7220422,달구벌대로669길 70
한일유앤아이경로당,053-795-2477,37.3586538,126.9402707,고산로 162
매호화성파크드림경로당,053-295-2854,35.8433465,128.7078616,달구벌대로641길 31
매호효성백년가약경로당,053-795-3370,35.8472424,128.7057775,천을로23길 31
시지푸로지오경로당,053-795-3690,35.83794,128.7191135,달구벌대로661길 7
신매효성백년가약(청)경로당,053-795-3166,35.8398897,128.7108593,달구벌대로 3233
신매역 우방유쉘경로당,053-795-1778,35.8465177,128.7045825,천을로23길 21
매호청구하이츠빌경로당,053-794-4494,35.8462216,128.7056924,천을로23길 26
시지대성유니드경로당,053-793-4020,35.8398452,128.7217532,달구벌대로669길 80
시지동화아이위시경로당,053-792-1299,35.8365594,128.7231256,달구벌대로669길 20
시지한신휴플러스아파트경로당,053-791-6116,35.8380911,128.7228731,달구벌대로669길 50
아이프라임신매경로당,개인정보 포함,35.8394275,128.7128531,달구벌대로649길 14
